23 25 67
23 26 7
23 27 3
23 29 1
23 31 34
24 25 23
24 26 31
24 27 2
24 30 1
24 31 4
24 32 55
24 34 54
24 46 11
24 47 11
24 50 2
24 53 10
24 55 1
24 57 1
24 60 47
24 62 1
24 64 3
24 66 2
24 68 46
24 70 4
24 72 3
24 74 3
24 76 1
24 79 1
24 81 2
24 82 8
24 86 8
24 90 8
24 91 1
25 34 1
25 73 439
25 71 194
25 81 8
25 84 3
25 26 3
25 27 602
25 29 49
25 31 392
26 32 109
26 71 5
26 28 26
26 31 25
27 29 2786
27 31 1560
27 32 4
27 33 128
27 34 4
27 35 9
27 55 22
27 59 19
27 67 160
27 69 1
27 71 2455
27 73 9776
27 75 1
27 81 1076
27 83 41
27 84 186
27 85 151
27 89 39
27 91 24
27 97 102
27 99 72
27 103 14
28 72 1
28 74 1
28 30 87
29 30 226
29 31 3249
29 33 94
29 34 2205
29 37 8545
29 38 34
29 39 11643
29 40 735
29 45 2
29 47 3479
29 48 10
29 50 18
29 51 1693
29 55 12393
29 57 24490
29 58 1629
29 59 5
29 60 40
29 61 5948
29 63 98
29 64 291
29 65 611
29 67 6490
29 68 134
29 69 1813
29 70 1
29 71 15453
29 72 43
29 73 49716
29 74 1096
29 75 19849
29 76 1
29 77 18650
29 78 10395
29 79 7249
29 80 23
29 81 18838
29 82 799
29 83 383
29 84 467
29 85 3991
29 86 147
29 87 109
29 88 1
29 89 297
29 90 15
29 91 10396
29 93 767
29 97 117
29 99 9327
29 103 8911
29 115 2
30 34 4
30 37 2
30 38 3
30 39 75
30 40 3
30 42 3
30 44 6
30 46 2
30 47 127
30 50 29
30 52 51
30 55 154
30 56 2
30 57 214
30 58 20
30 60 5
30 61 58
30 62 11
30 63 198
30 64 86
30 66 17
30 67 7
30 68 5
30 72 50
30 73 84
30 74 679
30 75 25
30 76 29
30 77 30
30 78 371
30 79 156
30 80 121
30 81 475
30 82 185
30 83 21
30 84 7
30 85 58
30 86 59
30 87 3
30 88 13
30 89 2
30 90 37
30 91 196
30 93 29
30 99 66
30 103 13
31 32 27
31 57 1
31 71 5306
31 73 5731
31 75 593
31 81 4
31 84 3
32 34 3
33 34 2565
33 35 4020
33 37 376
33 39 25
33 41 15
33 45 691
33 46 28
33 49 588
33 50 28
33 51 629
33 52 8
33 55 482
33 57 6642
33 59 8190
33 60 186
33 61 10648
33 62 2
33 65 2055
33 66 2
33 67 12992
33 68 1006
33 69 1507
33 70 1
33 71 848
33 73 505
33 75 3
33 83 393
33 85 1045
33 86 5
33 87 453
33 89 2781
33 91 540
33 93 2
33 97 1686
33 99 2833
33 103 531
34 35 6127
34 36 1002
34 44 63
34 45 2661
34 46 506
34 49 909
34 50 120
34 51 1485
34 52 9
34 57 16789
34 58 11
34 59 2332
34 60 19
34 61 14092
34 62 17
34 64 15
34 65 2666
34 66 13
34 67 9609
34 68 2262
34 69 4848
34 70 9
34 71 3977
34 72 8
34 74 6
34 76 1
34 77 196
34 78 6
34 80 3
34 81 2
34 82 10
34 84 2
34 85 1
34 86 14
34 88 1
34 90 9
35 36 4284
35 37 2
35 38 2
35 44 687
35 45 19027
35 46 4952
35 49 10690
35 50 886
35 51 12419
35 52 12
35 55 1322
35 57 10357
35 59 14434
35 60 252
35 61 25039
35 65 14474
35 67 26144
35 68 19033
35 69 2990
35 77 45
35 83 63
35 85 7
35 86 3
35 89 1223
35 91 1345
35 93 110
35 97 2
35 99 1422
35 103 465
36 38 32
36 44 70
36 45 4141
36 46 853
36 49 1906
36 50 281
36 51 2256
36 52 9
36 57 167
36 58 8
36 59 1115
36 60 1
36 61 2400
36 62 15
36 64 7
36 65 2684
36 66 19
36 67 3161
36 68 1243
36 69 4
36 70 6
36 82 6
36 86 20
37 38 406
37 39 25488
37 40 945
37 41 542
37 43 3
37 47 5839
37 48 655
37 50 16
37 55 15460
37 57 182
37 58 184
37 59 239
37 61 7
37 64 3
37 67 15251
37 68 81
37 69 13
37 71 205
37 73 21219
37 74 2
37 75 11949
37 77 12088
37 78 6572
37 79 700
37 81 231
37 82 1
37 84 5
37 85 78
37 86 2
37 87 57
37 89 208
37 90 2
37 91 7868
37 93 1282
37 95 66
37 97 5405
37 99 13082
37 103 12876
37 108 3
37 109 58
37 115 301
38 39 695
38 40 30
38 44 3
38 46 4
38 47 96
38 48 60
38 50 24
38 52 28
38 55 219
38 56 5
38 57 83
38 58 36
38 60 4
38 61 75
38 62 74
38 63 177
38 64 304
38 65 12
38 66 103
38 67 357
38 68 7
38 70 11
38 73 664
38 74 12
38 75 338
38 76 2
38 77 375
38 78 104
38 79 1
38 80 5
38 81 220
38 82 303
38 84 2
38 85 78
38 86 217
38 90 9
38 91 30
38 93 12
38 97 29
38 99 119
38 103 206
39 40 537
39 41 123
39 43 3
39 47 7159
39 48 878
39 50 21
39 55 15240
39 57 134
39 58 26
39 59 32
39 61 82
39 63 1
39 64 74
39 67 12441
39 68 85
39 73 23035
39 74 75
39 75 9579
39 77 14466
39 78 7766
39 79 1893
39 80 2
39 81 1514
39 82 2
39 83 15
39 84 8
39 85 73
39 86 8
39 87 66
39 89 104
39 90 8
39 91 6864
39 93 527
39 95 49
39 97 5345
39 99 11882
39 103 12277
39 109 43
39 115 326
40 44 28
40 47 28
40 48 60
40 50 57
40 52 54
40 55 979
40 56 148
40 57 58
40 60 3
40 61 51
40 62 11
40 63 71
40 64 145
40 66 17
40 67 525
40 68 23
40 73 1467
40 74 9
40 75 1602
40 76 1
40 77 4
40 78 12
40 79 35
40 80 10
40 81 279
40 82 255
40 84 2
40 85 226
40 86 112
40 89 37
40 90 10
40 91 510
40 93 17
40 96 1
40 97 12
40 98 5
40 99 642
40 103 685
40 110 4
41 99 158
41 97 279
41 103 20
41 67 400
41 55 3
41 89 3
41 59 6
41 69 1
42 47 14
42 50 3
42 52 1
42 55 1
42 56 2
42 57 5
42 60 2
42 61 10
42 62 1
42 63 7
42 65 8
42 66 8
42 74 85
42 79 4
42 82 57
42 84 40
42 86 56
42 88 5
42 90 50
42 91 14
42 93 3
42 99 2
43 44 15212
43 45 16298
43 46 5863
43 47 3922
43 48 8820
43 49 11912
43 50 14
43 51 10303
43 53 2
43 57 33
43 61 52
43 63 2
43 67 4002
43 68 4362
43 71 1
43 73 3
43 77 171
43 78 40
43 83 3
43 85 3
43 87 3
43 97 145
43 99 53
43 108 3
43 109 27
43 110 98
43 115 101
44 45 34033
44 46 17170
44 47 5537
44 48 10277
44 49 27302
44 50 3503
44 51 22951
44 52 219
44 54 19
44 56 18
44 57 1206
44 61 1970
44 65 1
44 67 6811
44 68 7633
44 72 1
44 74 5
44 76 1
44 86 1
44 88 7
44 96 6
44 97 1
44 98 10
44 99 1904
44 100 3
44 109 6
44 110 10
45 46 27969
45 47 6287
45 48 12656
45 49 54221
45 50 7301
45 51 49333
45 52 76
45 56 4
45 57 6801
45 59 10205
45 60 3967
45 61 22356
45 65 10541
45 67 29983
45 68 32370
45 69 396
45 71 1
45 73 4
45 83 4
45 85 5
45 87 5
45 99 2091
46 47 694
46 48 3282
46 49 23936
46 50 14118
46 51 18869
46 52 163
46 54 22
46 55 2
46 56 8
46 57 4118
46 58 1
46 59 264
46 60 112
46 61 6687
46 62 24
46 63 6
46 65 97
46 66 36
46 67 10065
46 68 14641
46 70 2
46 72 2
46 74 4
46 84 29
46 86 15
46 88 46
46 90 11
46 92 2
46 99 93
47 48 2471
47 49 5850
47 50 449
47 51 23615
47 52 34
47 53 3981
47 55 12025
47 56 74
47 57 5999
47 58 312
47 60 208
47 61 12825
47 63 4786
47 64 233
47 65 6567
47 67 6199
47 68 2655
47 70 535
47 73 1595
47 74 166
47 75 92
47 77 7256
47 78 2977
47 79 6211
47 80 49
47 81 4185
47 82 609
47 83 2576
47 84 679
47 85 1884
47 86 918
47 87 468
47 88 120
47 90 713
47 91 21530
47 93 2595
47 95 175
47 97 2870
47 99 13751
47 101 728
47 103 6314
47 108 90
47 109 478
47 110 267
47 115 712
48 49 9933
48 50 100
48 51 9105
48 52 102
48 54 2193
48 55 2
48 56 1737
48 57 66
48 60 1
48 61 65
48 62 1
48 63 29
48 64 47
48 66 21
48 67 1306
48 68 3014
48 69 4
48 70 1
48 73 696
48 77 878
48 78 25
48 81 42
48 82 47
48 85 18
48 86 38
48 90 12
48 91 4
48 92 1139
48 93 2
48 94 2
48 96 6
48 97 221
48 98 11
48 99 607
48 100 1300
48 103 6
48 109 9
48 110 10
48 115 7
49 50 6636
49 51 52335
49 52 56
49 56 4
49 57 5074
49 59 9901
49 60 10412
49 61 19093
49 63 2
49 65 2800
49 67 29380
49 68 39231
49 73 2
49 83 1
49 85 12
49 87 1
49 99 2044
50 51 4974
50 52 546
50 54 20
50 55 43
50 56 12
50 57 2248
50 58 3
50 59 4
50 60 438
50 61 3381
50 62 54
50 63 6
50 64 2
50 65 51
50 66 245
50 67 2450
50 68 5437
50 70 25
50 73 18
50 74 8
50 75 17
50 77 2
50 78 2
50 79 3
50 80 1
50 81 4
50 82 30
50 84 71
50 86 75
50 88 74
50 90 45
50 91 30
50 92 4
50 93 3
50 99 87
50 109 7
51 52 306
51 53 10146
51 55 13877
51 56 4
51 57 4093
51 59 8800
51 60 7872
51 61 20597
51 63 601
51 64 15
51 65 15365
51 66 267
51 67 24551
51 68 34479
51 70 647
51 73 65
51 74 3
51 79 143
51 81 2736
51 82 38
51 83 1909
51 84 2
51 85 4713
51 86 526
51 87 105
51 90 2
51 91 9719
51 93 1610
51 97 37
51 99 6237
51 101 779
51 103 573
51 108 1
51 109 2
51 110 11
51 115 9
52 54 487
52 56 172
52 58 7
52 60 31
52 61 350
52 62 65
52 63 344
52 64 44
52 65 311
52 66 1018
52 67 2
52 68 118
52 70 6
52 74 3
52 78 5
52 80 12
52 81 94
52 82 64
52 84 10
52 85 481
52 86 1445
52 88 3
52 90 284
52 92 38
52 98 1
52 99 12
52 100 1
52 109 1
52 110 3
53 99 180
53 85 23
53 55 5237
53 68 3
53 91 77
53 60 3
54 68 2
54 66 14
54 67 1
54 92 543
54 86 27
54 56 1043
54 100 426
54 90 183
54 60 1
54 94 57
55 56 42
55 57 718
55 58 1
55 59 776
55 60 125
55 61 4079
55 63 1640
55 64 214
55 65 3762
55 67 14328
55 68 532
55 70 265
55 71 334
55 73 17686
55 74 112
55 75 12119
55 77 2146
55 78 1913
55 79 3219
55 80 34
55 81 6897
55 82 363
55 83 2462
55 84 412
55 85 1700
55 86 476
55 87 106
55 88 96
55 89 1558
55 90 416
55 91 30249
55 93 4880
55 97 438
55 99 17065
55 101 342
55 103 13790
56 57 41
56 61 91
56 63 39
56 64 68
56 65 47
56 66 37
56 74 4
56 76 1
56 78 5
56 79 2
56 80 6
56 81 139
56 82 162
56 83 16
56 84 75
56 85 62
56 86 227
56 88 34
56 90 635
56 91 79
56 92 1637
56 93 16
56 94 67
56 99 10
56 100 1597
57 58 6645
57 59 5854
57 60 14
57 61 54307
57 63 6190
57 64 3343
57 65 2962
57 66 42
57 67 19999
57 68 5991
57 69 9410
57 70 2
