360 363 758
360 362 545
361 363 2
361 364 476
361 362 953
362 363 1668
362 364 1289
363 364 40
365 366 583
365 367 82
366 368 3952
366 369 576
367 373 9
367 375 11
368 369 3009
368 370 1171
369 370 3126
369 371 502
369 372 522
370 371 3
370 372 83
371 372 1702
373 374 20
373 375 62
373 376 14
373 379 6
374 375 20
375 376 52
377 378 11
377 379 5
377 380 5
377 381 8
378 379 1
378 380 10
378 381 12
379 381 7
379 380 8
380 384 1
380 381 15
380 383 16
381 383 3
383 384 1
383 385 4
384 385 1
384 386 5
384 387 1
385 386 3
386 387 7
386 388 4
387 388 1
390 392 18
